Numero,Link
10725, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-nobuck-alta-top-knoted-pink/p/0262404970002U
10726, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-bico-quadrado-salto-bloco-pingente-verano-rose/p/1138200080003U
10727, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-salto-kitten-tiras-amarracao-verano-rose/p/1140800060003U
10728, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-salto-geometrico-bico-quadrado-amarracao-natural-wood/p/1131900070002U
10729, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-salto-geometrico-bico-quadrado-amarracao-mandarine/p/1131900070003U
10730, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-tiras-salto-kitten-bico-quadrado-verano-rose/p/1138300050002U
10731, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-metalizado-tiras-salto-kitten-bico-quadrado-new-golden/p/1138300050003U
10732, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-aberta-couro-tiras-bico-folha-bianco/p/1133800050001U
10733, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-aberta-couro-metalizado-tiras-bico-folha-new-golden/p/1133800050003U
10734, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-salto-medio-bico-quadrado-bianco/p/1138200060001U
10735, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-salto-medio-bico-quadrado-baby-green/p/1138200060003U
10736, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-tiras-salto-medio-tiny-bow-verano-rose/p/1090400090001U
